id	step	verdict	assertion	detail
C1	unprobed floor	PASS	an unprobed model claims nothing and offers no capability-gated control	chip="Capabilities unknown" imageAffordances=0
C2	capability truth	PASS	the vision flag the UI branches on equals the endpoint's real vision support	report.vision=false endpoint=false
C3	vision	PASS	a model without vision has NO image affordance in the DOM	no image affordance in the DOM by name, test id or accept list
C4	context	PASS	the meter shows the endpoint's real window, and no other endpoint's	meter says: About 0 of 8K tokens
C5	context	PASS	the meter warns BEFORE the turn is sent, for a draft that will not fit	About 9,016 of 8K tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room.
C5b	context	PASS	the meter counts a staged text file and warns on it	About 9,016 of 8K tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room.
C6	streamed turn	PASS	the turn reaches a settled, readable state	settled
C7	reasoning	PASS	no reasoning markup reaches any visible text	no reasoning tags in visible text
C8	reasoning	PASS	the answer is not swallowed by the reasoning channel	answer=132 chars, reasoning=0 chars, reasoningVisible=false
C9	usage	PASS	token usage is shown only where the endpoint reported it	usage line present=false expected=false
C6b	streamed turn	PASS	everything the core produced for this turn reached the reader	the answer's opening reached the screen: "Mock small-local reply to:"
C10	reasoning	PASS	a profile with no reasoning renders no thinking block	no thinking block, as expected
C22	reading surface	PASS	the rendered answer has a type hierarchy a reader can use	h1=24px h2=18px h3=16px h4=15px | body=15px | distinct=4 monotonic=true outranksBody=true
C23	reading surface	PASS	wrapped prose reflows to the reader's column, not the model's	9 paragraphs; white-space=normal; 0 still carry a source newline
C24	reading surface	PASS	nothing in the answer makes the reading column scroll sideways	column 480px wide, content 480px
C22b	reading surface	PASS	all six heading levels are rendered, and none is smaller or lighter than a bold run	strong=600 body=15px | outweighed=[] undersized=[]
C22c	reading surface	PASS	every heading level from one to six reached the answer channel	levels present: 1,2,3,4,5,6
C25	reading surface	PASS	the reading column sets a comfortable number of characters per line	60.6 characters per line at 480px, set in Inter
C27	reasoning	PASS	a profile with no reasoning channel renders no thinking block to judge	no reasoning channel on this endpoint
C29	layout	PASS	the transcript and the composer stand on one vertical ruler	text 720–1200 (480px), composer 720–1200 (480px)
C29b	layout	PASS	they stay on it when the window narrows	text 376–856 (480px), composer 376–856 (480px)
C30	layout	PASS	the sidebar gives way to the reading column as the window narrows	1440px → sidebar 480px, column 480px; 880px → sidebar 352px, column 480px
C31	layout	PASS	the transcript fades into a scroll edge that hides content, and only into one that does	atTop=false atBottom=false mask=linear-gradient(rgba(0, 0, 0, 0) 0px, rgb(0, 0, 0) 32px, rgb(0, 0, 0) calc(100% - 32px), r
C11	tool calls	PASS	prompt emulation is disclosed	Tools were described in the prompt This model has no built-in tool calling, so 1 tool was described in the prompt and the reply was read back for a call. No token counts This endpoint does not report token usage.
C12	tool calls	PASS	no reasoning markup in the tool turn either	no reasoning tags in visible text
C13	no credential	PASS	an endpoint with no API key is a working state, with no error and no warning	usable=true check=satisfiedWithoutCredential complaintOnScreen=false
C14	error state	PASS	a turn that could not run says so, in Vela's own words	Could not reach the endpoint Vela could not open a connection. http://127.0.0.1:35163/v1/chat/completions Try again
C15	error state	PASS	the failed turn is settled, not a stuck spinner	settled
C16	streaming	PASS	the transcript shows a partial turn while it is still streaming	answer=142 reasoning=0
C17	reasoning	PASS	no reasoning markup mid-stream, when a tag may be split across frames	no reasoning tags in visible text
C18	streaming	PASS	the turn is painted incrementally, not in one lump	11 paints, 11 growing, spread over 746 ms
C19	console	PASS	zero console errors and zero uncaught exceptions	clean
C20	network	PASS	the browser never requested the model endpoint	none of 315 requests went to http://127.0.0.1:35163
C21	network	PASS	the browser never requested the slow endpoint either	none of 315 requests went to http://127.0.0.1:34543
